epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.932911,3.45975,4.12944,1.28392,0,0,0,0,4.35369,4.05359,1.40479,0,0,0
2,1.68762,2.9459,3.87704,1.20941,0,0,0,0,4.18015,3.96605,1.34755,1.9604e-05,1.9604e-05,1.9604e-05
3,2.36522,3.3134,4.00802,1.28154,0,0,0,0,3.87079,3.8994,1.25766,3.8416e-05,3.8416e-05,3.8416e-05
4,3.05611,3.09462,3.83991,1.15333,0,0,0,0,3.4464,3.85563,1.16916,5.6436e-05,5.6436e-05,5.6436e-05
5,3.77988,4.37011,6.40687,1.60674,0,0,0,0,3.20126,3.81947,1.11297,7.3664e-05,7.3664e-05,7.3664e-05
6,4.53483,4.54573,3.99246,1.18778,0,0,0,0,3.0452,3.78624,1.08871,9.01e-05,9.01e-05,9.01e-05
7,5.24041,2.95522,3.64766,1.02998,0,0,0,0,3.12289,3.76021,1.09204,0.000105744,0.000105744,0.000105744
8,5.97162,4.22852,3.75706,1.13654,0,0,0,0,3.07896,3.74544,1.08312,0.000120596,0.000120596,0.000120596
9,6.65948,2.29545,3.45161,0.97334,0,0,0,0,3.10987,3.72674,1.06058,0.000134656,0.000134656,0.000134656
10,7.3339,3.27055,3.46089,0.94191,0,0,0,0,3.1124,3.70282,1.05246,0.000147924,0.000147924,0.000147924
11,8.0386,2.71855,3.23975,0.96276,0,0,0,0,3.11867,3.68368,1.03489,0.0001604,0.0001604,0.0001604
12,8.71049,2.46202,3.05039,0.93449,0,0,0,0,2.94145,3.65308,1.01359,0.000172084,0.000172084,0.000172084
13,9.38436,2.38225,2.74111,0.91975,0,0,0,0,2.59076,3.61488,0.99001,0.000182976,0.000182976,0.000182976
14,10.0386,2.20719,2.65647,0.96224,0,0,0,0,2.21997,3.57582,0.96555,0.000193076,0.000193076,0.000193076
15,10.7329,2.6693,2.42839,0.9684,0,0,0,0,2.12514,3.53697,0.95643,0.000202384,0.000202384,0.000202384
16,11.4416,2.28213,1.9743,0.90972,0.00667,0.04545,0.00428,0.00062,2.07978,3.49055,0.94766,0.0002109,0.0002109,0.0002109
17,12.1731,2.83166,1.80187,0.89022,0.00333,0.02273,0.00195,0.00078,2.04788,3.45071,0.94136,0.000218624,0.000218624,0.000218624
18,12.8881,2.42896,1.43308,0.89948,0.00333,0.02273,0.00195,0.00078,2.04788,3.45071,0.94136,0.000225556,0.000225556,0.000225556
19,13.789,3.18612,1.8493,0.93756,0.01,0.06818,0.00666,0.00298,2.03409,3.38686,0.9424,0.000231696,0.000231696,0.000231696
20,14.4728,2.54247,1.5557,0.90659,0.01,0.06818,0.00666,0.00298,2.03409,3.38686,0.9424,0.000237044,0.000237044,0.000237044
21,15.181,2.37879,1.49914,0.86375,0.01,0.06818,0.0067,0.00287,2.12622,3.33222,0.94399,0.0002416,0.0002416,0.0002416
22,15.8581,2.4078,1.54207,0.91251,0.01,0.06818,0.0067,0.00287,2.12622,3.33222,0.94399,0.000245364,0.000245364,0.000245364
23,16.5511,2.52468,1.65949,0.8972,0.02,0.13636,0.01525,0.00411,2.2032,3.2851,0.94599,0.000248336,0.000248336,0.000248336
24,17.2556,2.54503,1.47447,0.93094,0.02,0.13636,0.01525,0.00411,2.2032,3.2851,0.94599,0.000250516,0.000250516,0.000250516
25,17.9964,2.21001,1.40915,0.90049,0.02667,0.18182,0.02082,0.00607,2.17172,3.23957,0.94243,0.000251904,0.000251904,0.000251904
26,18.6596,2.60168,1.89375,0.97054,0.02667,0.18182,0.02082,0.00607,2.17172,3.23957,0.94243,0.0002525,0.0002525,0.0002525
27,19.3665,2.61647,1.63221,0.88064,0.02667,0.18182,0.01894,0.00663,2.08553,3.18564,0.93185,0.000252304,0.000252304,0.000252304
28,20.0536,2.17283,1.2629,0.88114,0.02667,0.18182,0.01894,0.00663,2.08553,3.18564,0.93185,0.000251316,0.000251316,0.000251316
29,20.7454,2.47634,1.5067,0.92807,0.04667,0.31818,0.04001,0.01471,1.9665,3.12076,0.92263,0.000249536,0.000249536,0.000249536
30,21.4357,2.11526,1.86457,0.85131,0.04667,0.31818,0.04001,0.01471,1.9665,3.12076,0.92263,0.000246964,0.000246964,0.000246964
31,22.1917,2.02307,1.11971,0.87186,0.07333,0.5,0.06438,0.02636,1.88282,3.06764,0.91455,0.0002436,0.0002436,0.0002436
32,22.8501,1.99293,1.12649,0.86442,0.07333,0.5,0.06438,0.02636,1.88282,3.06764,0.91455,0.000239444,0.000239444,0.000239444
33,23.5864,2.04358,1.17222,0.89391,0.09667,0.65909,0.10173,0.04202,1.8667,3.01986,0.91198,0.000234496,0.000234496,0.000234496
34,24.3203,2.14607,1.09763,0.88263,0.09667,0.65909,0.10173,0.04202,1.8667,3.01986,0.91198,0.000228756,0.000228756,0.000228756
35,25.019,2.29288,1.56607,0.9615,0.10667,0.72727,0.10804,0.04727,1.90115,2.97387,0.91054,0.000222224,0.000222224,0.000222224
