epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.76134,2.37976,3.84642,0.96628,0,0,0,0,0,173.647,0,2e-05,2e-05,2e-05
2,13.0532,2.20363,3.77253,0.94877,0,0,0,0,0,174.229,0,5.92575e-05,5.92575e-05,5.92575e-05
3,19.5296,1.62283,3.55386,0.87896,0,0,0,0,0,174.702,0,9.7525e-05,9.7525e-05,9.7525e-05
4,26.8968,1.86219,3.2336,0.87348,0,0,0,0,0,174.915,0,0.000134803,0.000134803,0.000134803
5,33.3773,1.81921,2.70089,0.85584,0,0,0,0,0,175.077,0,0.00017109,0.00017109,0.00017109
6,39.4764,1.49168,1.92772,0.83414,0,0,0,0,0,175.513,0,0.000206388,0.000206388,0.000206388
7,46.0168,1.32769,1.2997,0.82003,0,0,0,0,0,176.748,0,0.000240695,0.000240695,0.000240695
8,52.8421,1.64566,1.11546,0.82469,0,0,0,0,0,178.853,0,0.000274012,0.000274012,0.000274012
9,59.811,1.33494,0.91094,0.81326,0,0,0,0,0,179.855,0,0.00030634,0.00030634,0.00030634
10,66.9132,1.35144,0.91553,0.80709,0,0,0,0,0,181.031,0,0.000337677,0.000337677,0.000337677
11,73.5732,1.19468,0.86038,0.80018,0,0,0,0,0,181.733,0,0.000368025,0.000368025,0.000368025
12,80.5967,1.40022,0.97669,0.79927,0,0,0,0,0,182.704,0,0.000397383,0.000397383,0.000397383
